order_id,item_index,invoice_number,invoice_date,order_date,seller_name,seller_tax_id,buyer_name,buyer_tax_id,item_description,item_asin,item_qty,item_unit_price_net,item_vat_rate,item_vat_amount,item_total_gross,subtotal_net,shipping_net,total_vat,total_gross,is_official_invoice,document_type,source_file
171-3188489-4665124,1,ES66RJBAEUI,2026-01-18,2026-01-18,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"Blevit Noches Felices | 150g | Infusión relajante en polvo con Tila, Melisa y Manzanilla",B09PC42TCR,7,8.85,10,6.23,68.18,97.35,0.0,9.79,107.14,True,invoice,20260118_Tax Invoice_171-3188489-4665124.pdf
171-3188489-4665124,2,ES66RJBAEUI,2026-01-18,2026-01-18,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,Blevit Barriguitas Felices | 150g | Infusión digestiva en polvo con Manzanilla e Hinojo,B09PC5BD61,4,8.85,10,3.56,38.96,97.35,0.0,9.79,107.14,True,invoice,20260118_Tax Invoice_171-3188489-4665124.pdf
408-0436444-7373149,1,ES60000S42RONI,2026-01-17,2026-01-17,shenzhenshiniujinzhuangmaoyiyouxiangongsi,ESN0268457I,LAYERONE SLU,ESB67716035,"VOENXE Tangas Bragas Mujer Sin Costuras,Talle Bajo V-Waist Women Braguitas Lencería,Sexy Underwear,Microfibra Brasileñas CóModos Ropa Interior, Transpirable Panties,Multi Pack De 5",B0CXPVDRQS,1,11.98,0,0.0,11.98,11.98,0.0,0.0,11.98,True,invoice,20260117_Tax Invoice_408-0436444-7373149.pdf
408-7081178-0685105,1,ES60000IYRONVI,2026-01-17,2026-01-17,"Zhoushan Meike E-commerce Co.,Ltd",ESN7207295B,LAYERONE SLU,ESB67716035,"MK MATT KEELY Zapatillas de Estar por Casa para Niños Niñas Calcetines de Invierno Bebé Pantuflas Antideslizantes Primeros Pasos, Azul, 23/24 EU (CN26-27)",B0DJNHG6JC,1,16.52,0,0.0,16.52,33.04,0.0,0.0,33.04,True,invoice,20260117_Tax Invoice_408-7081178-0685105.pdf
408-7081178-0685105,2,ES60000IYRONVI,2026-01-17,2026-01-17,"Zhoushan Meike E-commerce Co.,Ltd",ESN7207295B,LAYERONE SLU,ESB67716035,"MK MATT KEELY Zapatillas de Estar por Casa para Niños Niñas Calcetines de Invierno Bebé Pantuflas Antideslizantes Primeros Pasos, Morado, 23/24 EU (CN26-27)",B0DJNGZWH4,1,16.52,0,0.0,16.52,33.04,0.0,0.0,33.04,True,invoice,20260117_Tax Invoice_408-7081178-0685105.pdf
408-5433225-7137930,1,ES600065J9SZ5I,2026-01-17,2026-01-17,The Incredible Company GmbH,ESN0277924G,LAYERONE SLU,ESB67716035,"BIODANCE Máscara Real Deep de Bio-Colágeno, Máscara de Hidrogel, Minimización de Poros, Mejora de la Elasticidad, Cuidado de la Piel Coreano | 34 g x 4 uds.",B0B2RM68G2,2,13.51,0,0.0,27.02,27.02,0.0,0.0,27.02,True,invoice,20260117_Tax Invoice_408-5433225-7137930.pdf
408-3432203-3113133,1,ES6375OAEUI,2026-01-10,2026-01-09,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"Nestlé NAN OPTIPRO 3 Leche de crecimiento en polvo, 3x800g",B08HK55KV8,1,40.77,10,4.08,44.85,163.08,0.0,16.32,179.4,True,invoice,20260110_Tax Invoice_408-3432203-3113133_1.pdf
408-3432203-3113133,2,ES6375OAEUI,2026-01-10,2026-01-09,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"Nestlé NAN OPTIPRO 3 Leche de crecimiento en polvo, 3x800g",B08HK55KV8,1,40.77,10,4.08,44.85,163.08,0.0,16.32,179.4,True,invoice,20260110_Tax Invoice_408-3432203-3113133_1.pdf
408-3432203-3113133,3,ES6375OAEUI,2026-01-10,2026-01-09,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"Nestlé NAN OPTIPRO 3 Leche de crecimiento en polvo, 3x800g",B08HK55KV8,1,40.77,10,4.08,44.85,163.08,0.0,16.32,179.4,True,invoice,20260110_Tax Invoice_408-3432203-3113133_1.pdf
408-3432203-3113133,4,ES6375OAEUI,2026-01-10,2026-01-09,"Amazon EU S.à r.l., Sucursal en España",ESW0184081H,LAYERONE SLU,ESB67716035,"Nestlé NAN OPTIPRO 3 Leche de crecimiento en polvo, 3x800g",B08HK55KV8,1,40.77,10,4.08,44.85,163.08,0.0,16.32,179.4,True,invoice,20260110_Tax Invoice_408-3432203-3113133_1.pdf
